case_number,year,application_start_date,final_date,gross_site_area_acres,council_district,is_protested,delta_max_height_ft,delta_max_far,delta_max_bldg_cov_pct,delta_min_lot_sqft,delta_max_height_ft_is_missing,delta_max_far_is_missing,delta_max_bldg_cov_pct_is_missing,delta_min_lot_sqft_is_missing
C14-2020-0048,2020.0,2020-04-22,,0.0,9.0,0.0,-25.0,-0.65,-25.0,-2250.0,0,0,0,0
C14-2020-0067,2020.0,2020-06-12,,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2020-0075,2020.0,2020-07-07,2021-09-30 14:19:16,0.0,9.0,1.0,30.0,2.0,5.0,2250.0,0,0,0,0
C14-2020-0081,2020.0,2020-07-21,2022-06-16 18:34:37,0.0,9.0,1.0,0.0,-0.05,-5.0,0.0,0,0,0,0
C14-2020-0089,2020.0,2020-08-06,2021-08-26 18:27:06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2020-0102,2020.0,2020-09-11,,0.0,8.0,1.0,5.0,0.6499999999999999,30.0,-37810.0,0,0,0,0
C14-2020-0112,2020.0,2020-10-02,2021-05-20 16:26:06,0.0,9.0,1.0,60.0,4.0,40.0,-5750.0,0,0,0,0
C14-2020-0121,2020.0,2020-10-23,2021-12-09 16:42:46,0.0,5.0,1.0,0.0,0.35,40.0,-37810.0,0,0,0,0
C14-2020-0143,2020.0,2020-12-08,,0.0,1.0,0.0,0.0,0.0,-15.0,2250.0,0,0,0,0
C14-2020-0146,2020.0,2020-12-14,2021-11-04 16:27:19,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2020-0147,2020.0,2020-11-23,,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2020-0151,2020.0,2020-12-21,2021-11-04 16:53:21,0.0,2.0,0.0,25.0,0.85,45.0,-35560.0,0,0,0,0
C14-2021-0007,2021.0,2020-10-01,2021-05-25 09:50:39,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2021-0008.SH,2021.0,2021-01-14,,0.0,3.0,,25.0,0.6,20.0,2250.0,0,0,0,0
C14-2021-0009,2021.0,2020-12-23,2022-01-28 13:27:50,0.0,9.0,1.0,30.0,1.0,-15.0,2250.0,0,0,0,0
C14-2021-0015,2021.0,2021-02-02,,0.0,3.0,0.0,30.0,1.0,-15.0,2250.0,0,0,0,0
C14-2021-0017,2021.0,2021-01-24,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2021-0023.SH,2021.0,2021-03-03,,0.0,1.0,,25.0,0.95,55.0,-37810.0,0,0,0,0
