Geographic_Layer,Architecture,Anchor_Year,Evaluation_Year,OOS_Offset,MdAPE
Meso,XGB_Depth6,2018,2022,+2 Yr,0.552
Meso,XGB_Depth10,2018,2018,+2 Yr,0.8046
Meso,XGB_Depth10,2018,2019,+2 Yr,0.9825
Meso,XGB_Depth10,2018,2020,+2 Yr,0.9906
Meso,XGB_Depth10,2018,2021,+2 Yr,0.9892
Meso,XGB_Depth10,2018,2022,+2 Yr,0.5278
Meso,CAT_Depth6,2018,2018,+2 Yr,0.5464
Meso,CAT_Depth6,2018,2019,+2 Yr,0.2825
Meso,CAT_Depth6,2018,2020,+2 Yr,1.7263
Meso,CAT_Depth6,2018,2021,+2 Yr,1.265
Meso,CAT_Depth6,2018,2022,+2 Yr,4.7117
Meso,CAT_Depth10,2018,2018,+2 Yr,0.3567
Meso,CAT_Depth10,2018,2019,+2 Yr,0.5804
Meso,CAT_Depth10,2018,2020,+2 Yr,2.61
Meso,CAT_Depth10,2018,2021,+2 Yr,0.9253
Meso,CAT_Depth10,2018,2022,+2 Yr,3.6995
Meso,LGBM_Depth6,2019,2019,+2 Yr,0.1282
Meso,LGBM_Depth6,2019,2020,+2 Yr,0.0256
Meso,LGBM_Depth6,2019,2021,+2 Yr,0.5461
Meso,LGBM_Depth6,2019,2022,+2 Yr,2.7844
Meso,LGBM_Depth10,2019,2019,+2 Yr,0.1336
Meso,LGBM_Depth10,2019,2020,+2 Yr,0.0505
Meso,LGBM_Depth10,2019,2021,+2 Yr,0.1223
