"CASE_NUMBER","CASE_NAME","SUB_TYPE","APPLICATION_START_DATE","DETAILED_STATUS","COUNCIL_DISTRICT","PROPOSED_ZONING","EXISTING_ZONING","TCAD_ID","DESCRIPTION_OF_WORK","LATITUDE","LONGITUDE"
"NPA-2007-0015.01","Hastings - Springdale","New Neighborhood Plan","07/05/2007","Closed","","MF-2 - MULTI FAMILY LOW","SF-3-NP - Family Residence-Neighborhood Plan Combining district","","The applicant is requesting a neighborhood plan amendment along with their zoning change.","",""
"C814-97-0001.09","Leander Rehabilitation Planned Unit Development Agreement","Planned Unit Development (PUD)","05/02/2012","Approved","","PUD - PLANNED UNIT DEVELOPMENT","PUD - PLANNED UNIT DEVELOPMENT","","The applicant is requesting a land use plan PUD amendment.","",""
"C814-06-0175.04","East Avenue PUD Amendment Parcel H","Planned Unit Development (PUD)","08/25/2022","Closed","","PUD-NP, planned unit development - neighborhood plan, to allow administrative and business office use to exceed 75% of the ground floor area as depicted on Exhibit C-3 of the ordinance","PUD-NP, planned unit development - neighborhood plan","0215080159","The Applicant is proposing to amend PUD-NP zoning on 1.579 acres to allow administrative and business office use to exceed 75% of the ground floor area as depicted on Exhibit C-3 of the ordinance for","30.29179450","-97.72237949"
"NPA-2008-0016.01","Govalle/Johnston Terrace Vertical Mixed Use NPA","Amended Neighborhood Plan","05/09/2008","Closed","","","","","The applicant proposes to amend the Govalle/Johnston Terrace Neighborhood Plan amendments include change in Future Land Use Designation.","",""
"C12M-07-0002","NORTH AUSTIN MUD LAND PLAN AND CONSENT AGMT AMENDMENT #12","Municipal Utility District (MUD)","02/05/2007","Withdrawn","","","","","AMBER OAKS MULTIFAMILY","",""
"C12M-2017-0009","Pilot Knob Municipal Utility District No. 4","Municipal Utility District (MUD)","08/01/2017","In Review","","PUD - PLANNED UNIT DEVELOPMENT","","","The applicant is proposing an amendment to existing MUD agreement","",""
"C814-06-0109.02","LAKESHORE PUD","Planned Unit Development (PUD)","08/11/2020","Withdrawn","","PUD-NP, to change a condition of zoning and to increase the maximum building height on 21.971 acres (a portion of Area 8, Area 12 and Area 13)","PUD-NP","","The Applicant is proposing to amend a previously approved Planned Unit Development, to increase the maximum building height on 21.971 acres. being a portion of Area 8, Area 12 and Area 13. 

Case wa","",""
"C814-97-0001.05","Leander Rehabilitation Site - Administrative Land Use Plan PUD Amendment # 6","Planned Unit Development (PUD)","05/24/2007","Closed","","PUD - PLANNED UNIT DEVELOPMENT","PUD - PLANNED UNIT DEVELOPMENT","","The applicant proposes to amend the land use for the PUD.","",""
"C12M-2016-0005","North Austin Municipal District No. 1","Municipal Utility District (MUD)","10/19/2016","Recommended for Approval","","SF,MF,MU,CO","","R569025","The applicant proposes to amend a previously approved MUD agreement.","30.46063847","-97.75564524"
"C12M-2013-0003","Northtown M.U.D.","Municipal Utility District (MUD)","04/25/2013","Notice/Hearing Determination","","N/A","","","The applicant is proposing an administrative revision to reflect minor changes in retail locations.

On May 13, 2013, the staff approved the Northtown Municipal Utility District Amendment # 11 (plea","",""
"NPA-2011-0025.04","8739 & 8743 West State Hwy 71 FLUM Amendment","Amended Neighborhood Plan","11/16/2011","Closed","","","","0402480328","The applicant is proposing a FLUM Amendment to change the land use designation to Mixed-Use and multifamily for the property located at 8739 and
8743 West State Highway 71.","30.25043879","-97.89720749"
"NPA-2009-0003.01","Chestnut Vertical Mixed Use Neighborhood Plan Amendments","Amended Neighborhood Plan","05/13/2009","Closed","","VMU","VARIES","","The applicant is requesting a neighborhood plan amendment.","",""
"C814-2012-0085.01","Estancia Hill Country PUD - First Amendment","Planned Unit Development (PUD)","12/16/2013","Closed","","PUD - PLANNED UNIT DEVELOPMENT","PUD - PLANNED UNIT DEVELOPMENT","0456180705","The applicant is requesting to amend the PUD (Planned Unit Development) in order to address grandfathering provisions in the approved zoning ordinance.","30.11353097","-97.81085442"
"NPA-2015-0005.04","Lenox Oaks","Amended Neighborhood Plan","07/29/2015","Closed","","CS-MU-NP","CS-NP, SF-3-NP, GO-NP, SF-2-NP","","The applicant is proposing to amend Montopolis Neighborhood Plan.","30.23786500","-97.68825433"
"C12M-2017-0007","Amendment to Pilot Knob Municipal Utility District No. 2 Consent Agreement","Municipal Utility District (MUD)","08/01/2017","In Review","","PUD - PLANNED UNIT DEVELOPMENT","","","The applicant is proposing to amend the Pilot Knob MUD No. 2, to modify the conceptual plans for the major wastewater facilities of the project.","",""
"C814-89-0003.02","305 S. Congress","Planned Unit Development (PUD)","07/24/2019","Closed","","PUD-NP - PLANNED UNIT DEVELOPMENT, to change conditions of zoning","PUD-NP - PLANNED UNIT DEVELOPMENT","","The PUD amendment proposes to replace the land use plan, modify the conditional and prohibited uses and revise the development intensity on 18.86 acres.","",""
"C814-97-0001.11","Leander Rehabilitation  Center PUD Amendment","Planned Unit Development (PUD)","04/04/2014","Closed","","PUD - PLANNED UNIT DEVELOPMENT","PUD - PLANNED UNIT DEVELOPMENT","","The applicant is requesting a land use plan PUD amendment.","",""
"C814-97-0001.14","Leander Rehabilitation PUD Amendment #15","Planned Unit Development (PUD)","01/15/2021","Closed","","to amend ordinance 20190620-154 and permit an alternate internal drive design for the interior streets on parcels CO-1, Commercial Office and COR-4, Commercial Office Residential.","PUD","","The Applicant is proposing a PUD amendment, specifically to amend ordinance 20190620-154 and permit an alternate internal drive design for the interior streets on parcels CO-1, Commercial Office and C","",""
