CASE_NUMBER,Meeting_Date,vote_yes,vote_no,nay_members,matched
C14-2017-0156,2018-03-22T00:00:00.000,10.0,0.0,,True
C14-2018-0102,2019-01-31T00:00:00.000,,,,False
NPA-2017-0016.02,2018-10-04T00:00:00.000,10.0,1.0,with Renteria,True
C14H-2018-0013,2018-08-30T00:00:00.000,,,,False
C14-2016-0079,2018-02-01T00:00:00.000,11.0,0.0,,True
NPA-2017-0016.02,2019-03-07T00:00:00.000,10.0,1.0,with Renteria,True
NPA-2018-0016.03,2019-03-28T00:00:00.000,,,,False
C14-2017-0139,2018-06-28T00:00:00.000,10.0,1.0,,True
NPA-2019-0020.04,2019-10-17T00:00:00.000,11.0,0.0,,True
C14-2018-0136,2019-03-28T00:00:00.000,,,,False
C14-2018-0097,2018-11-01T00:00:00.000,,,,False
C14-2018-0090,2018-12-13T00:00:00.000,,,,False
C14-2020-0009,2020-03-26T00:00:00.000,,,,False
C14-2017-0094,2018-10-04T00:00:00.000,,,,False
C14-2018-0024,2018-08-09T00:00:00.000,10.0,0.0,,True
NPA-2017-0016.03,2018-11-01T00:00:00.000,,,,False
C14-2019-0041,2019-06-06T00:00:00.000,,,,False
C14-2018-0064,2019-03-28T00:00:00.000,,,,False
C14H-2018-0103,2018-12-13T00:00:00.000,,,,False
C14-2017-0130,2018-06-28T00:00:00.000,,,,False
C14-2019-0069,2019-08-08T00:00:00.000,,,,False
C814-2012-0160,2019-08-08T00:00:00.000,11.0,0.0,,True
C14-2017-0141,2018-03-01T00:00:00.000,,,,False
C14-2019-0129,2020-04-09T00:00:00.000,11.0,0.0,,True
C14-2019-0116,2019-10-31T00:00:00.000,,,,False
NPA-2018-0001.01,2018-09-20T00:00:00.000,,,,False
C14-2019-0068,2019-10-17T00:00:00.000,9.0,0.0,,True
C14-2016-0094,2018-09-20T00:00:00.000,11.0,0.0,,True
C14-2019-0105,2020-01-23T00:00:00.000,,,,False
NPA-2019-0016.01,2020-04-23T00:00:00.000,10.0,0.0,,True
C14H-2018-0084,2018-10-04T00:00:00.000,,,,False
C14-2017-0100,2018-12-13T00:00:00.000,,,,False
C14-2017-0140,2018-03-22T00:00:00.000,8.0,0.0,,True
C14-2019-0003,2020-03-12T00:00:00.000,,,,False
C14-2018-0026,2019-08-08T00:00:00.000,9.0,2.0,"Garza, Casar",True
C14-2019-0010,2019-08-08T00:00:00.000,,,,False
NPA-2017-0016.04,2018-04-26T00:00:00.000,8.0,0.0,,True
C14-2016-0136,2018-06-28T00:00:00.000,6.0,0.0,,True
C14-2018-0112,2019-02-07T00:00:00.000,,,,False
C14-2019-0029,2019-08-08T00:00:00.000,,,,False
C14-2020-0012,2020-04-23T00:00:00.000,,,,False
C14-2017-0130,2018-04-12T00:00:00.000,,,,False
C14-2016-0079,2018-06-28T00:00:00.000,11.0,0.0,,True
C14-2018-0080,2019-10-17T00:00:00.000,10.0,0.0,,True
NPA-2019-0003.01,2020-02-06T00:00:00.000,,,,False
C14H-2018-0082,2018-11-01T00:00:00.000,,,,False
NPA-2018-0021.02,2020-03-26T00:00:00.000,,,,False
C14-2019-0029,2020-03-26T00:00:00.000,,,,False
C14-2020-0015,2020-04-23T00:00:00.000,,,,False
C14-2019-0054,2019-06-20T00:00:00.000,,,,False
C14-2017-0115,2018-02-01T00:00:00.000,11.0,0.0,,True
C14-2018-0116,2019-01-31T00:00:00.000,,,,False
C814-2012-0160,2019-06-20T00:00:00.000,11.0,0.0,,True
C14H-2019-0148,2020-01-23T00:00:00.000,,,,False
NPA-2018-0016.01,2018-12-13T00:00:00.000,,,,False
C14-2017-0066,2019-01-31T00:00:00.000,,,,False
C14-2019-0078,2019-09-19T00:00:00.000,,,,False
C14H-2018-0105,2018-11-01T00:00:00.000,,,,False
C14-2019-0087,2019-09-19T00:00:00.000,,,,False
C814-2012-0160,2019-10-17T00:00:00.000,11.0,0.0,,True
C14-2017-0138,2018-05-24T00:00:00.000,,,,False
C14-2017-0138,2019-02-21T00:00:00.000,,,,False
C14-2019-0056,2019-06-06T00:00:00.000,,,,False
C14-2017-0109,2018-02-01T00:00:00.000,,,,False
C14-2017-0125,2018-03-08T00:00:00.000,,,,False
C14-2018-0120,2019-03-28T00:00:00.000,,,,False
C14-2018-0061,2018-11-29T00:00:00.000,10.0,0.0,,True
C14-2018-0080,2019-08-08T00:00:00.000,10.0,0.0,,True
C14-2015-0062,2018-10-18T00:00:00.000,,,,False
C14-2017-0138,2019-01-31T00:00:00.000,,,,False
C14-2018-0141,2019-06-06T00:00:00.000,,,,False
C14-2018-0065,2019-03-28T00:00:00.000,,,,False
C14-2019-0146,2020-01-23T00:00:00.000,,,,False
C14H-2017-0055,2019-01-31T00:00:00.000,,,,False
C14-2018-0026,2019-09-19T00:00:00.000,9.0,2.0,"Garza, Casar",True
C14-2018-0031,2018-06-14T00:00:00.000,,,,False
C14-2018-0037,2018-11-29T00:00:00.000,11.0,0.0,,True
C14-2019-0029,2019-10-17T00:00:00.000,,,,False
C14-2019-0151,2020-04-09T00:00:00.000,10.0,0.0,,True
C14-2017-0122,2018-03-08T00:00:00.000,,,,False
C14-2019-0014,2019-06-06T00:00:00.000,,,,False
C14-2018-0133,2019-02-07T00:00:00.000,,,,False
NPA-2018-0026.02,2018-09-20T00:00:00.000,10.0,0.0,,True
C14-2017-0149,2018-06-28T00:00:00.000,,,,False
NPA-2016-0002.01,2018-05-24T00:00:00.000,9.0,0.0,,True
C14-2018-0074,2019-02-21T00:00:00.000,,,,False
C14-2019-0144,2019-12-05T00:00:00.000,,,,False
C14-2019-0050,2019-06-06T00:00:00.000,10.0,0.0,,True
C14-2019-0165,2020-03-12T00:00:00.000,11.0,0.0,,True
NPA-2019-0021.02,2020-04-09T00:00:00.000,,,,False
C14-2017-0066,2018-11-01T00:00:00.000,,,,False
C14-2018-0069,2018-10-18T00:00:00.000,10.0,0.0,,True
C14-2017-0105,2018-03-08T00:00:00.000,,,,False
C14-2017-0094,2018-06-28T00:00:00.000,,,,False
C14H-2018-0013,2018-05-10T00:00:00.000,,,,False
C14-2017-0022,2019-08-08T00:00:00.000,,,,False
C14-2018-0072,2018-10-04T00:00:00.000,,,,False
C14-2018-0119,2019-01-31T00:00:00.000,,,,False
NPA-2019-0012.02,2020-02-20T00:00:00.000,,,,False
C14-2018-0029,2018-06-28T00:00:00.000,,,,False
C14-2018-0115,2019-04-25T00:00:00.000,11.0,0.0,,True
C14-2019-0088,2019-10-03T00:00:00.000,11.0,0.0,,True
C14H-2017-0129,2018-08-30T00:00:00.000,,,,False
C14-2019-0103,2020-02-06T00:00:00.000,,,,False
NPA-2019-0005.02,2019-08-08T00:00:00.000,,,,False
C14-2019-0007,2019-09-19T00:00:00.000,,,,False
C14-2019-0053,2020-02-20T00:00:00.000,,,,False
C14-2018-0107,2018-12-13T00:00:00.000,,,,False
NPA-2017-0016.03,2019-01-31T00:00:00.000,,,,False
C14-2017-0067,2018-02-01T00:00:00.000,8.0,1.0,Alter,True
C14-2018-0074,2018-11-01T00:00:00.000,,,,False
C14-2017-0139,2018-05-24T00:00:00.000,10.0,1.0,,True
C14-2018-0001,2019-01-31T00:00:00.000,,,,False
NPA-2016-0016.01,2018-06-28T00:00:00.000,11.0,0.0,,True
NPA-2018-0021.01,2019-02-07T00:00:00.000,,,,False
C14-2018-0080,2019-03-28T00:00:00.000,10.0,0.0,,True
NPA-2017-0021.01,2019-06-06T00:00:00.000,,,,False
C14-2019-0152,2020-02-20T00:00:00.000,,,,False
C14-2017-0106,2018-02-01T00:00:00.000,,,,False
C14-2018-0142,2019-04-11T00:00:00.000,,,,False
C14-2019-0078,2019-11-14T00:00:00.000,,,,False
C14-2019-0064,2019-06-20T00:00:00.000,,,,False
NPA-2018-0007.01,2018-06-14T00:00:00.000,,,,False
C14-2018-0053,2018-10-04T00:00:00.000,,,,False
C14-2017-0100,2018-08-09T00:00:00.000,,,,False
C14-2018-0109,2019-04-25T00:00:00.000,,,,False
C14-2007-0087,2018-08-23T00:00:00.000,,,,False
NPA-2019-0010.01,2019-10-17T00:00:00.000,,,,False
C14-2019-0134,2019-12-05T00:00:00.000,,,,False
C14-2018-0057,2018-10-04T00:00:00.000,,,,False
C14-2016-0079,2018-04-12T00:00:00.000,11.0,0.0,,True
C14-2016-0090,2018-06-14T00:00:00.000,,,,False
NPA-2019-0027.02,2019-12-05T00:00:00.000,,,,False
C14-2020-0025,2020-04-23T00:00:00.000,,,,False
NPA-2019-0008.01,2020-01-23T00:00:00.000,,,,False
C14-2017-0066,2018-09-20T00:00:00.000,,,,False
C14-2017-0106,2018-06-14T00:00:00.000,,,,False
NPA-2017-0018.01,2019-06-06T00:00:00.000,,,,False
C14-2019-0165,2020-04-23T00:00:00.000,11.0,0.0,,True
C14-2019-0164,2020-03-26T00:00:00.000,10.0,0.0,,True
C14-2018-0124,2019-10-31T00:00:00.000,9.0,2.0,"Council members Alter, Pool",True
C14-2019-0053,2019-12-05T00:00:00.000,,,,False
